Country,New Deaths,New Recovered,New Confirmed,Total Confirmed,Total Deaths,Total Recovered,Date
Ethiopia,2,161,545,126786,1965,112974,2021-01-08T05:47:02Z
Malaysia,4,1129,2593,125438,513,100578,2021-01-08T05:47:02Z
Honduras,6,0,1077,124899,3192,57348,2021-01-08T05:47:02Z
Ireland,17,0,7832,121154,2299,23364,2021-01-08T05:47:02Z
Venezuela (Bolivarian Republic),5,234,246,114908,1047,108966,2021-01-08T05:47:02Z
Bosnia and Herzegovina,0,0,0,113392,4211,79465,2021-01-08T05:47:02Z
Paraguay,16,961,898,111694,2337,87747,2021-01-08T05:47:02Z
Libya,10,1191,424,102880,1546,77435,2021-01-08T05:47:02Z
Algeria,4,198,247,101120,2786,68383,2021-01-08T05:47:02Z
Kenya,4,609,271,97398,1694,79966,2021-01-08T05:47:02Z
China,1,94,88,96398,4788,90400,2021-01-08T05:47:02Z
Nigeria,5,903,1664,94369,1324,77299,2021-01-08T05:47:02Z
Bahrain,1,218,289,94284,353,91431,2021-01-08T05:47:02Z
"Macedonia, Republic of",12,1689,619,85328,2571,65793,2021-01-08T05:47:02Z
Kyrgyzstan,1,215,144,81656,1361,77170,2021-01-08T05:47:02Z
Uzbekistan,1,105,55,77350,615,75650,2021-01-08T05:47:02Z
Korea (South),19,654,868,66686,1046,47649,2021-01-08T05:47:02Z
Albania,7,551,725,61008,1217,36102,2021-01-08T05:47:02Z
Singapore,0,24,31,58780,29,58541,2021-01-08T05:47:02Z
Ghana,0,0,0,55168,335,53928,2021-01-08T05:47:02Z
Afghanistan,0,0,0,53105,2244,42666,2021-01-08T05:47:02Z
Norway,13,0,787,52967,465,17998,2021-01-08T05:47:02Z
Republic of Kosovo,0,0,0,52333,1355,43380,2021-01-08T05:47:02Z
Montenegro,6,269,643,50697,705,40638,2021-01-08T05:47:02Z
Luxembourg,3,244,281,47430,517,43712,2021-01-08T05:47:02Z
El Salvador,9,0,0,47355,1382,42225,2021-01-08T05:47:02Z
Sri Lanka,2,761,522,46248,219,39023,2021-01-08T05:47:02Z
